,feature0,feature1,label
0,-33.5450466,-17.45849185,0
1,2.181172207,13.48913854,0
2,-24.27743834,-22.9075231,0
3,-91.3891037,-33.32553249,0
4,-23.85672969,6.369938839,0
5,13.3029929,-13.32747911,0
6,-115.2641857,109.5638289,0
7,-1.858292431,-7.924479439,0
8,-28.90725449,-0.85589954,0
9,-62.84043968,-12.00826045,0
10,-60.27913483,-23.97393601,0
11,102.4166295,10.94469478,0
12,14.68736107,-27.96896715,0
13,-65.75597739,-23.61608138,0
14,42.2788264,0.621774987,0
15,30.76100334,-14.59268664,0
16,-110.2735855,62.59533019,0
17,457.9575249,41.64079792,0
18,-33.89431897,-14.3576792,0
19,-99.49611876,-9.815803196,0
20,-29.39862851,-19.23413115,0
21,-116.4082242,139.0138577,0
22,-99.40619644,-2.952174382,0
23,-58.90802147,-26.75724277,0
24,-1.370308325,-9.166047846,0
25,-51.83232043,-22.27408271,0
26,-83.20367941,-6.351037359,0
27,-93.76414771,-4.807947937,0
28,54.2044376,-14.1751513,0
29,-60.05714361,-7.233336265,0
30,46.54577604,3.697004976,0
31,-113.2539374,110.9113173,1
32,-40.81939168,-10.49303209,0
33,-27.21160306,-15.04156254,0
34,-104.0535069,55.76529979,1
35,-97.98524158,-26.24922983,0
36,-28.87832142,-17.98059985,0
37,-14.24644438,-7.524025898,0
38,128.1863801,21.01671576,0
39,-3.182616403,-17.62669972,0
40,-107.6164329,57.82269016,1
41,-99.17869322,-11.12707561,0
42,0.964298767,-22.89314741,0
43,-17.79272325,-6.804881812,0
44,-75.81563839,-31.2950868,0
45,150.5371713,9.304943393,0
46,26.05161589,-14.99916801,0
47,-98.08652742,-28.01110907,0
48,63.62837768,11.85151183,0
49,70.85255507,-0.635133401,0
50,124.1620683,10.97897539,0
51,17.81509352,-5.034972683,0
52,-4.091392086,-21.47149727,0
53,-26.16223549,-0.317435348,0
54,23.92832731,-5.063338879,0
55,-22.87011306,-16.25870199,0
56,-14.59325314,-10.95186525,0
57,-63.51220154,-15.06491576,0
58,-98.7611471,-22.89984925,0
59,117.855555,-6.228278308,0
60,105.0012585,-2.531061944,0
61,-58.61733045,-26.64797492,0
62,317.996495,18.42986788,0
63,-60.43710907,-23.44310418,0
64,0.673654114,-2.812566187,0
65,6.389277407,1.785077363,0
66,123.8611594,3.711367699,0
67,46.05768229,-9.071090907,0
68,-9.023708022,17.1394896,1
69,-40.17838951,-17.96075741,0
70,34.16142981,4.914983884,0
71,52.51839045,-23.11426547,0
72,14.0578575,-12.22074981,0
73,-63.63372252,-22.10944265,1
74,-92.48124953,-16.25115881,0
75,-93.23328133,-16.72647896,0
76,63.09373649,-13.30077456,0
77,-52.44750065,-29.03430899,0
78,84.53323875,-11.85991031,1
79,-32.9160464,-0.874641517,0
80,-55.59735046,-2.634059808,0
81,-104.4689121,27.45986054,1
82,-101.5852024,26.35602821,1
83,-54.25336207,-24.98308267,0
84,-99.18514378,-9.839475131,0
85,-11.12869745,-21.8009821,0
86,193.9624309,10.9767392,0
87,-37.20544044,-26.07127754,0
88,18.9419091,-11.18920242,0
89,-58.31968067,-23.04123642,0
90,-89.63015627,-8.210094942,0
91,-22.496453,-23.84371117,0
92,46.19425261,-12.37587498,0
93,259.0801086,22.12424672,0
94,6.472223998,-11.60246276,0
95,3.992450202,-30.97581582,0
96,78.11795148,-4.523026481,0
97,134.263732,1.590333925,0
98,-10.51755358,-31.59081472,0
99,263.0825094,23.77233299,0
100,10.08353614,4.292342314,0
101,-1.847741622,-21.79139634,0
102,82.41491546,-17.26895978,0
103,-91.95549189,-14.49298497,0
104,-17.98223439,-28.87376313,0
105,-5.097443848,-17.26666931,0
106,-2.739223464,-22.61541563,0
107,77.71619706,-7.46059907,0
108,133.348632,12.88004736,0
109,-54.969788,-11.73737344,0
110,12.09384608,1.020969016,0
111,192.2439487,-0.323819869,0
112,12.35816658,-4.404361386,0
113,82.47423258,8.762982286,0
114,15.16461069,14.26661858,0
115,778.1142028,50.01827659,0
116,146.3675463,7.253126569,0
117,432.0185304,17.39533221,0
118,-0.389683023,-2.147189155,0
119,-54.74729676,-28.99716321,0
120,-80.53818601,-18.70846611,0
121,-13.26303516,6.381461897,0
122,-111.752106,88.28971129,1
123,-16.54048112,-14.56201559,0
124,116.0372531,4.115953872,0
125,-98.95652499,-13.3448003,0
126,-35.13228654,-16.58516766,0
127,-44.58661079,-19.50187108,0
128,208.7397688,6.063278821,0
129,99.64688144,-6.818861728,0
130,-15.40130744,-8.447066945,0
131,6.264502973,-18.45642964,0
132,-62.97396702,19.20884633,1
133,-96.31191174,-11.2637113,0
134,-90.73950934,-26.20751973,0
135,-62.70634921,-36.78100499,0
136,-2.948446414,-26.3713549,0
137,407.4125643,33.68966352,0
138,-94.27165032,-18.20517822,0
139,-69.49256566,-5.829029745,0
140,-28.69668748,-23.24680211,0
141,18.1810636,-9.719851139,0
142,144.7751888,25.46062869,0
143,71.27759433,-11.94514655,0
144,-38.48920288,-14.39761529,1
145,-54.0291938,-24.54799712,0
146,-110.9254779,61.05920211,0
147,-17.72688202,-12.45321687,0
148,26.31329241,-16.88119907,0
149,-21.90090637,-30.52529029,0
150,118.8444115,0.783633525,0
151,71.29442063,-4.516741649,0
152,-35.60573071,3.344518206,0
153,81.32643468,-12.29507135,0
154,14.64995027,-10.35154142,0
155,6.891457811,-16.35460824,0
156,-115.6822445,103.9443989,0
157,30.52540772,-4.679182447,0
158,-100.5594115,7.135238085,0
159,-110.9598039,113.7614781,1
160,-54.82703685,-7.236323097,0
161,74.31609146,7.869960741,0
162,2.677999599,-19.74558373,0
163,37.3389942,-18.98344887,0
164,32.15332717,-7.922419488,0
165,-44.08736262,-25.5437766,0
166,-83.65222456,-17.85278003,0
167,-85.79977552,6.658236424,1
168,-30.51972355,-2.082829646,0
169,100.0012524,3.686378016,0
170,-12.41810322,-13.52160711,0
171,0.81045965,-11.53988823,0
172,-106.6598276,31.74785751,0
173,83.64912639,1.293283967,0
174,10.16853242,-9.374268563,0
175,-55.72567216,-17.35542528,0
176,31.3849314,-13.39176466,0
177,-99.03153095,9.796819711,0
178,-74.33543146,17.40027615,1
179,6.631904932,-6.229926638,0
180,56.18305365,12.65224682,0
181,-88.19064188,-16.86727227,0
182,28.90158568,-21.79943331,0
183,18.34564012,-30.64540226,0
184,-100.4396538,8.97423056,0
185,272.139115,-0.697071813,0
186,-50.67880198,-18.91659689,0
187,-111.6331213,65.42409891,0
188,-31.0560195,-16.80551434,0
189,-113.6971841,113.3031122,1
190,258.0888378,17.28290716,0
191,-49.53401851,-25.95342159,0
192,-110.0713956,49.81411283,0
193,-61.5192625,-10.79509478,0
194,33.87739928,11.7856979,0
195,48.23684577,-9.570612773,0
196,-113.8441933,99.13208467,0
197,143.2936525,26.65548818,0
198,17.34709664,25.26887849,1
199,-110.3840472,64.05969253,0
200,-14.73149528,-6.95557145,0
201,-84.13420681,-20.80222271,0
202,-32.70779568,-28.20365582,0
203,127.1945579,12.34541693,0
204,-102.6989686,2.02374212,0
205,-113.0383728,78.22011139,0
206,16.65465884,-9.752761512,0
207,79.3225483,-3.063370072,0
208,-98.77404904,-11.92532641,0
209,71.48850535,-0.376522018,0
210,19.74058626,-19.0995072,0
211,-44.18572043,-25.42885114,0
212,-6.028369352,-13.16576764,0
213,80.04097633,-20.59214888,0
214,130.0800132,14.87698801,0
215,-2.525568,-5.655480808,0
216,-8.2543808,-19.0950558,0
217,-76.1863969,-14.15289613,0
218,55.66180377,1.832895924,0
219,118.093245,-3.081827372,0
220,4.632011533,-11.99914345,0
221,7.565906445,-4.433506906,0
222,25.56576487,8.722892281,0
223,0.053869959,-20.05619447,0
224,102.3408903,-4.058650269,0
225,-105.8009158,43.00173841,0
226,-47.28508603,-31.94303783,0
227,-88.6311866,36.19321988,1
228,51.26449433,-11.78963071,0
229,97.01869169,-15.44456502,0
230,268.4417966,28.78495653,0
231,-48.71177922,-23.18140723,0
232,-48.8175021,-26.77243629,0
233,44.4644686,-13.52584947,0
234,-4.063790361,-26.11325031,0
235,-45.20895147,-6.101727292,0
236,-66.60375237,-12.67189606,0
237,61.02532306,-21.21476652,0
238,-76.04591445,21.3389731,1
239,-58.48270108,12.53201371,1
240,-97.33249456,-36.14008155,0
241,-42.07138435,-14.58765954,0
242,-64.60900711,-16.7008119,0
243,29.68314878,-20.02164916,0
244,44.48510492,-5.037743741,0
245,-7.854525099,-13.18652584,0
246,-113.2255363,107.1926227,1
247,45.73173997,1.07773355,0
248,-44.97077737,-19.48972245,0
249,31.10245243,-8.363524653,0
250,46.00833851,-26.38129181,0
251,57.58616361,-2.992726746,0
252,-104.5243114,12.65907402,0
253,-14.06981038,-7.8562938,0
254,23.54662289,-23.36372305,0
255,-116.8434442,141.3120939,1
256,-43.40618762,-13.64325481,0
257,63.30704023,-13.11787988,0
258,4.86153309,-16.98407816,0
259,-11.99306996,-31.42684323,0
260,-22.18046391,-19.82002791,0
261,-97.58105336,-32.35664289,0
262,-91.28953815,-24.27148118,0
263,189.9314723,10.34168165,0
264,-99.23428775,-7.057936637,0
265,-10.24786709,-10.9167818,0
266,-96.87987801,-37.84861493,0
267,-51.85255413,-22.3149467,0
268,-113.0631602,78.45901988,0
269,41.56760769,-18.37258344,0
270,-108.6779976,88.3556052,1
271,41.57036381,13.09188239,0
272,-20.14735323,-13.0132688,0
273,14.13444364,6.008611923,0
274,-11.08706567,-29.57960877,0
275,29.00548808,0.453617851,0
276,-44.8414636,-22.00775044,0
277,-99.05680978,-20.55285082,0
278,-8.158738215,-22.28846983,0
279,-42.06966942,-32.15337473,0
280,-20.57317693,-24.44879699,0
281,-14.18231109,-18.21980113,0
282,-102.62627,56.23329813,1
283,68.34011768,-12.85776989,0
284,-92.00054718,8.599845734,1
285,108.4287236,12.78086172,0
286,-116.9432385,140.3575851,1
287,-43.91345955,-21.97950706,0
288,-17.07629719,-12.38951912,0
289,2.57844493,-18.29367004,0
290,353.4730997,18.84159375,0
291,-97.92774612,-26.62842019,0
292,-78.15742352,-12.06468805,0
293,2.275745578,-13.2295745,0
294,-101.2890849,49.17484696,1
295,-15.2850482,-21.12221305,0
296,-61.31348599,-26.6721751,0
297,-59.03903699,1.718573978,0
298,154.8922605,-1.433793134,0
299,-26.31709154,-32.33325921,0
300,-72.6689919,-17.3891072,0
301,-5.873959453,5.776146093,0
302,239.8668679,7.25832129,0
303,90.21895786,-0.597302285,0
304,-102.6012533,28.42239632,1
305,-105.9401619,40.19606043,0
306,-11.616838,-9.251533168,0
307,19.37647716,-12.28835474,0
308,-87.14762437,-21.72735479,0
309,-33.92463705,-8.888654873,0
310,-95.43791609,-5.662412528,0
311,22.75148777,-15.47927824,0
312,-49.40679385,-17.62577681,0
313,-60.42979246,-6.839340681,0
314,-98.8883031,-15.06713994,0
315,35.01591612,-2.829756396,0
316,57.76987894,14.17378133,0
317,-70.8248018,0.757619344,0
318,-75.29981695,-24.16965922,0
319,237.6749233,-4.890165552,0
320,272.8240969,17.71024273,0
321,-103.1568369,46.39287264,1
322,80.65271523,-8.179345619,0
323,93.1653288,-1.59326112,0
324,48.12783495,2.26521049,0
325,-80.39110606,-23.74947178,0
326,-101.7489682,19.5947276,0
327,-29.9775929,-25.97233406,0
328,-55.12616753,-25.574606,0
329,-101.8817467,37.65160159,0
330,130.6425684,4.559741822,0
331,-89.74236026,-16.17823032,0
332,2.726694399,9.611767544,0
333,37.30946305,-6.690387488,0
334,10.50677257,-7.132834198,1
335,-113.9306354,125.8936909,1
336,-30.95525616,-16.65342332,0
337,-117.3472707,147.7737135,1
338,-114.6481904,96.33806627,0
339,140.3307722,6.380778623,0
340,-36.85056423,-23.05015337,0
